"","timestep","trial","option","feature","obs"
"1",4,1,3,2,1.38321099784092
"2",5,1,2,1,-0.303929609079568
"3",5,2,1,2,0.268924642202091
"4",5,4,2,1,-0.722487464257841
"5",6,1,2,2,0.759541113071977
"6",7,1,2,2,-0.0989226359518203
"7",7,9,2,2,0.333105521894784
