"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,1,3,2,0.288084755628509
"2",1,2,2,3,1,0.184908331983866
"3",1,3,1,2,1,0.279094305087241
"4",1,4,2,3,2,-0.0814835171773141
"5",1,5,2,3,2,-0.00590082170654285
"6",1,6,1,2,1,-1.92927776072302
"7",1,7,2,3,1,-0.161142198341596
"8",1,8,1,2,1,-0.950104280696058
"9",1,9,1,2,1,-0.937939552386155
"10",1,10,1,3,1,0.0213961381841545
"11",2,1,1,2,1,-1.37804407329543
"12",2,2,1,2,2,0.95777950827744
"13",2,3,1,3,1,0.0832672831088701
"14",2,4,1,3,1,-0.212137903072215
"15",2,5,2,3,1,0.208119346282444
"16",2,6,2,3,2,-1.13744547522502
"17",2,7,2,3,2,-0.371448165143562
"18",2,8,2,3,1,-0.297462096675473
"19",2,9,2,3,2,-0.884786181897266
"20",2,10,1,2,2,0.766238474951234
"21",3,1,2,3,2,-0.929302893271747
"22",3,2,1,3,1,-0.945329129292889
"23",3,3,1,3,2,0.438162871238216
"24",3,4,2,3,1,2.0254077849386
"25",3,5,1,3,1,-0.827079237683422
"26",3,6,2,3,1,1.01104908683954
"27",3,7,1,2,1,-1.51959374485794
"28",3,8,2,3,2,0.0917436398761526
"29",3,9,1,3,1,0.461607679336728
"30",3,10,2,3,2,-1.134335841379
"31",4,2,2,3,2,-0.300989056293503
"32",4,3,1,2,2,0.42163551343553
"33",4,4,1,3,2,-0.187542935108497
"34",4,5,1,3,2,0.113259056263904
"35",4,6,2,3,2,-1.36397996465142
"36",4,7,1,3,2,1.19404485385164
"37",4,8,1,2,2,0.831349591167192
"38",4,9,1,2,2,1.08154842947477
"39",4,10,1,2,1,-0.269984869485624
"40",5,2,2,3,2,0.874146426468775
"41",5,4,2,3,2,-0.845044774541579
"42",5,5,2,3,2,1.32893431199962
"43",5,6,2,3,2,-0.543322048992202
"44",5,7,1,3,1,-0.929312829523444
"45",5,8,1,3,1,-0.0175018234174907
"46",5,9,1,2,1,-1.38509775745127
"47",5,10,1,3,2,0.37277079286147
"48",6,2,1,2,1,-2.13591885088997
"49",6,3,1,3,1,-0.780684800185979
"50",6,4,1,2,2,1.33047457341971
"51",6,5,1,2,1,-0.269385826727053
"52",6,6,2,3,1,0.943903460770303
"53",6,7,1,2,2,0.854776796331362
"54",6,8,1,3,2,0.345404939255303
"55",6,9,1,2,2,0.876896948952789
"56",6,10,1,3,1,-0.319252923436
"57",7,1,2,3,1,1.25001295772439
"58",7,2,1,2,1,-0.547389749949629
"59",7,3,1,3,2,0.796645454602025
"60",7,4,2,3,1,1.53213670844782
"61",7,5,2,3,2,-0.624837426991125
"62",7,6,2,3,1,0.809391418868041
"63",7,7,2,3,1,0.553949597600738
"64",7,8,1,3,2,-0.13641245438508
"65",7,9,1,2,1,-0.486610386241638
"66",7,10,1,3,2,1.02009584644032
