"","timestep","trial","option","feature","obs"
"1",3,1,2,2,-1.12930289327175
"2",4,1,3,2,-0.0357306624949961
"3",5,1,2,2,-1.11899928001265
"4",6,1,1,2,0.0590788249345961
"5",6,4,1,1,-0.669525426580288
"6",7,1,1,1,-0.949987042275608
"7",7,5,1,2,-0.424837426991125
