"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,3,1,-0.212586456291471
"2",1,3,1,3,2,0.0476941115335278
"3",1,4,1,3,2,0.279139980570985
"4",1,5,1,3,1,-0.729111316453098
"5",1,7,2,3,1,0.0228524235833827
"6",1,8,1,2,1,-0.973422258133673
"7",1,9,1,2,2,0.0600911263107693
"8",1,10,1,3,1,-0.177778349793476
"9",2,1,1,3,1,-0.486030483687373
"10",2,2,2,3,2,0.520435952629768
"11",2,3,1,3,1,-0.0627701161561981
"12",2,4,1,3,1,0.339060814891328
"13",2,6,1,2,1,-1.07264562625058
"14",2,7,1,3,1,-0.665417993622493
"15",2,8,2,3,1,0.385377628824958
"16",2,9,1,3,2,1.01714096718373
"17",3,2,1,2,2,1.81289767565293
"18",3,3,1,2,2,1.22740797881259
"19",3,4,1,2,2,1.141186469698
"20",3,7,2,3,2,-0.359056415024329
"21",3,8,2,3,2,-1.22356852919714
"22",3,9,1,2,1,-0.927405416081885
"23",3,10,1,2,2,0.404441324175062
"24",4,1,2,3,1,1.78321099784092
"25",4,2,1,2,2,0.969453951357603
"26",4,3,1,3,1,-0.688148789919395
"27",4,4,1,2,1,-1.64907223310002
"28",4,5,1,2,1,-0.991345273213006
"29",4,6,2,3,2,-1.09314885186952
"30",4,7,1,3,2,0.397868890316505
"31",4,9,2,3,1,0.426882676636053
"32",5,3,1,3,2,1.49636733587525
"33",5,4,1,2,1,-1.72248746425784
"34",5,7,1,2,1,-1.64351120969516
"35",5,9,1,2,2,1.70853996049309
"36",5,10,1,2,1,-1.27239559580976
"37",6,2,1,2,1,-0.631720770671582
"38",6,3,1,2,1,-1.30042098485471
"39",6,4,2,3,2,-0.364138695003717
"40",6,7,2,3,1,0.315719396963638
"41",6,8,1,3,1,-0.365839536412065
"42",6,9,1,2,1,-0.592231898453833
"43",7,2,1,3,2,1.09093927000891
"44",7,4,2,3,1,1.27979656850593
"45",7,7,2,3,2,-0.549039075176537
"46",7,8,1,3,1,-0.163151215939981
"47",7,9,2,3,2,-0.466894478105216
"48",7,10,2,3,1,0.539054421825341
