"","timestep","trial","opt1","opt2","feature","obs"
"1",1,3,1,3,2,1.77909430508724
"2",1,4,1,3,2,0.918516482822686
"3",1,5,1,2,1,-0.805900821706543
"4",1,6,2,3,2,-1.72927776072302
"5",1,7,2,3,2,-0.161142198341596
"6",1,8,1,2,1,-0.950104280696058
"7",1,9,1,2,2,1.06206044761384
"8",1,10,1,2,1,-0.178603861815845
"9",2,2,2,3,2,0.15777950827744
"10",2,3,1,2,2,1.58326728310887
"11",2,4,1,2,1,-1.01213790307222
"12",2,5,2,3,2,-0.191880653717555
"13",2,7,1,2,1,-1.57144816514356
"14",2,9,1,3,1,-0.284786181897266
"15",2,10,2,3,2,-0.433761525048766
"16",3,3,1,2,1,-1.06183712876178
"17",3,4,1,2,2,2.2254077849386
"18",3,5,2,3,1,0.172920762316578
"19",3,7,1,3,1,-1.31959374485794
"20",3,8,1,3,2,1.09174363987615
"21",3,9,1,3,2,0.861607679336728
"22",3,10,1,3,2,-0.134335841378998
"23",4,3,1,3,1,-1.07836448656447
"24",4,6,1,3,2,-0.363979964651423
"25",4,7,2,3,1,0.194044853851639
"26",4,8,1,3,1,-0.668650408832808
"27",4,9,1,2,1,-0.918451570525235
"28",4,10,2,3,1,0.930015130514376
"29",5,2,2,3,2,0.874146426468775
"30",5,3,1,3,1,-1.28455243286952
"31",5,5,2,3,1,1.72893431199962
"32",5,7,2,3,2,0.0706871704765563
"33",5,8,1,3,2,0.982498176582509
"34",5,9,1,2,2,0.614902242548733
"35",5,10,1,2,2,0.57277079286147
"36",6,1,1,2,1,-0.940921175065404
"37",6,3,1,3,2,0.219315199814021
"38",6,4,1,2,2,1.33047457341971
"39",6,5,2,3,2,0.530614173272947
"40",6,6,2,3,2,-1.0560965392297
"41",6,7,2,3,2,0.054776796331362
"42",6,9,1,2,1,-1.12310305104721
"43",6,10,1,2,1,-0.519252923436
"44",7,1,1,2,2,1.05001295772439
"45",7,2,2,3,2,0.652610250050371
"46",7,3,2,3,2,-0.203354545397975
"47",7,6,1,2,2,0.609391418868041
"48",7,7,1,2,2,1.35394959760074
"49",7,9,1,2,2,1.51338961375836
"50",7,10,1,2,2,1.22009584644032
