"","timestep","trial","option","feature","obs"
"1",1,1,1,1,-0.91191524437149
"2",2,1,2,1,-0.378044073295431
"3",2,6,1,1,-1.33744547522502
"4",2,8,3,2,-1.29746209667547
"5",2,9,2,1,-0.0847861818972661
"6",3,4,1,1,0.225407784938604
"7",4,1,2,2,-0.835730662494996
"8",4,9,1,2,0.0815484294747649
"9",5,2,2,1,0.674146426468775
"10",5,9,3,2,-0.585097757451267
"11",6,2,3,1,-1.33591885088997
"12",6,9,2,2,-1.12310305104721
"13",7,4,2,1,0.732136708447824
