"","timestep","trial","opt1","opt2","feature","obs"
"1",1,2,1,2,1,-0.412586456291471
"2",1,4,2,3,2,-0.720860019429015
"3",1,5,1,2,2,1.0708886835469
"4",1,6,1,2,1,-0.368113203092375
"5",1,7,1,2,2,0.822852423583383
"6",1,9,2,3,2,-1.73990887368923
"7",2,2,2,3,2,0.520435952629768
"8",2,3,1,3,1,-0.0627701161561981
"9",2,4,1,3,1,0.339060814891328
"10",2,5,1,3,1,-0.623192445967087
"11",2,6,2,3,2,-0.872645626250578
"12",2,7,1,3,1,-0.665417993622493
"13",2,10,1,3,2,0.745797746715024
"14",3,2,1,3,1,0.0128976756529334
"15",3,3,1,3,2,0.727407978812586
"16",3,4,1,3,2,0.341186469697999
"17",3,5,1,3,2,0.982896431816868
"18",3,7,1,3,2,0.640943584975671
"19",3,8,1,3,2,-0.223568529197143
"20",3,9,1,3,1,-0.127405416081885
"21",4,2,1,2,2,0.969453951357603
"22",4,3,1,2,2,0.811851210080605
"23",4,5,1,2,1,-0.991345273213006
"24",4,6,1,2,2,0.706851148130485
"25",4,7,2,3,2,-0.602131109683495
"26",4,8,1,3,1,-0.455476547217024
"27",4,9,1,3,1,-0.573117323363947
"28",5,2,1,3,2,0.468924642202091
"29",5,3,1,3,1,0.496367335875255
"30",5,5,1,2,2,0.800467831974697
"31",5,6,1,2,2,0.588745418993002
"32",5,8,2,3,1,0.445573742151257
"33",5,10,2,3,2,-0.472395595809758
"34",6,2,1,2,2,1.36827922932842
"35",6,3,1,3,1,-0.800420984854712
"36",6,4,1,3,1,0.235861304996283
"37",6,5,1,2,1,0.00665807117447104
"38",6,6,1,2,1,-1.56659446225723
"39",6,7,1,3,1,-0.684280603036362
"40",6,9,1,3,1,0.207768101546167
"41",6,10,2,3,1,0.256552092479197
"42",7,2,1,2,1,-1.10906072999109
"43",7,3,1,3,2,0.439376961954028
"44",7,5,1,3,2,0.172708923348013
"45",7,6,2,3,1,1.53507865005526
"46",7,7,1,3,2,0.450960924823463
"47",7,8,1,2,1,-0.663151215939981
"48",7,9,1,3,2,0.533105521894784
"49",7,10,2,3,2,0.139054421825341
