"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,1,2,2,1.08808475562851
"2",1,2,2,3,1,0.184908331983866
"3",1,3,2,3,2,0.779094305087241
"4",1,4,2,3,1,1.51851648282269
"5",1,5,1,3,1,-0.605900821706543
"6",1,6,2,3,1,0.270722239276979
"7",1,7,1,2,1,-1.3611421983416
"8",1,8,1,2,1,-0.950104280696058
"9",1,9,1,3,1,-0.137939552386155
"10",1,10,1,2,2,1.82139613818415
"11",2,2,1,2,2,0.95777950827744
"12",2,3,1,2,1,-0.41673271689113
"13",2,4,1,2,2,0.987862096927785
"14",2,5,2,3,2,-0.191880653717555
"15",2,6,1,2,2,0.662554524774981
"16",2,7,2,3,2,-0.371448165143562
"17",2,8,2,3,2,-1.29746209667547
"18",2,9,1,2,2,0.915213818102734
"19",2,10,1,3,2,0.566238474951234
"20",3,1,1,3,1,0.070697106728253
"21",3,2,1,2,1,-1.14532912929289
"22",3,3,1,2,2,0.938162871238216
"23",3,4,1,3,1,1.0254077849386
"24",3,5,1,2,1,-1.02707923768342
"25",3,6,1,3,2,0.0110490868395365
"26",3,7,2,3,1,-0.319593744857941
"27",3,8,1,3,1,0.0917436398761526
"28",3,9,2,3,2,-0.138392320663272
"29",3,10,1,3,1,-1.734335841379
"30",4,1,2,3,1,1.364269337505
"31",4,2,2,3,2,-0.300989056293503
"32",4,3,1,3,1,-1.07836448656447
"33",4,4,1,2,1,-1.3875429351085
"34",4,5,1,2,2,0.313259056263904
"35",4,6,1,3,1,-0.363979964651423
"36",4,7,1,3,2,1.19404485385164
"37",4,8,1,3,2,0.331349591167192
"38",4,9,1,2,1,-0.918451570525235
"39",4,10,2,3,1,0.930015130514376
"40",5,1,2,3,2,-0.918999280012646
"41",5,2,1,3,2,1.87414642646878
"42",5,3,1,3,2,-0.284552432869522
"43",5,4,1,2,2,0.954955225458421
"44",5,5,2,3,1,1.72893431199962
"45",5,6,2,3,2,-0.543322048992202
"46",5,7,1,3,1,-0.929312829523444
"47",5,8,1,2,2,1.48249817658251
"48",5,9,1,2,2,0.614902242548733
"49",5,10,2,3,2,-0.62722920713853
"50",6,1,2,3,1,1.2590788249346
"51",6,2,1,2,1,-2.13591885088997
"52",6,3,2,3,1,0.219315199814021
"53",6,4,1,2,1,-0.669525426580288
"54",6,6,1,3,1,-0.0560965392296974
"55",6,7,1,3,2,1.05477679633136
"56",6,8,1,3,1,-0.654595060744697
"57",6,9,1,2,1,-1.12310305104721
"58",6,10,2,3,2,0.280747076564
"59",7,2,2,3,2,0.652610250050371
"60",7,3,2,3,1,0.796645454602025
"61",7,4,1,3,2,0.932136708447824
"62",7,5,2,3,1,-0.224837426991125
"63",7,6,1,3,1,-0.190608581131959
"64",7,7,1,3,1,-0.446050402399262
"65",7,8,1,3,2,-0.13641245438508
"66",7,9,1,3,1,0.313389613758362
"67",7,10,2,3,1,0.420095846440319
