"","timestep","trial","opt1","opt2","feature","obs"
"1",1,1,2,3,2,-0.0954977996872499
"2",1,2,2,3,1,0.787413543708529
"3",1,3,1,2,2,0.547694111533528
"4",1,4,1,3,1,-0.120860019429015
"5",1,5,1,3,2,0.870888683546902
"6",1,6,1,2,2,1.63188679690762
"7",1,7,1,2,2,0.822852423583383
"8",1,8,2,3,1,0.526577741866327
"9",1,9,1,2,2,0.0600911263107693
"10",1,10,2,3,1,0.822221650206524
"11",2,1,1,2,2,0.313969516312627
"12",2,2,1,2,2,1.32043595262977
"13",2,3,1,3,1,-0.0627701161561981
"14",2,4,2,3,2,-0.260939185108673
"15",2,5,1,2,1,-0.823192445967087
"16",2,6,1,3,1,0.127354373749423
"17",2,7,2,3,2,0.334582006377507
"18",2,8,1,2,2,0.885377628824958
"19",2,9,2,3,1,1.61714096718373
"20",2,10,1,2,2,0.945797746715023
"21",3,1,1,2,1,-0.582536195230712
"22",3,2,1,3,2,2.01289767565293
"23",3,3,2,3,2,-0.272592021187414
"24",3,4,1,3,2,0.341186469697999
"25",3,5,1,2,2,1.18289643181687
"26",3,6,1,3,2,0.695730642522099
"27",3,7,1,2,1,-1.55905641502433
"28",3,8,1,3,2,-0.223568529197143
"29",3,9,1,2,1,-0.927405416081885
"30",3,10,1,2,1,-1.59555867582494
"31",4,2,1,3,1,-0.830546048642397
"32",4,3,1,2,1,-1.1881487899194
"33",4,4,1,2,1,-1.64907223310002
"34",4,5,1,3,1,-0.791345273213006
"35",4,6,2,3,1,0.906851148130485
"36",4,7,2,3,1,-0.602131109683495
"37",4,8,1,3,1,-0.455476547217024
"38",4,9,1,3,2,-0.173117323363947
"39",4,10,2,3,2,-0.280455944319647
"40",5,1,2,3,1,0.896070390920432
"41",5,2,1,2,1,-1.73107535779791
"42",5,3,2,3,1,1.49636733587525
"43",5,4,1,2,2,0.277512535742159
"44",5,5,1,3,2,0.600467831974697
"45",5,7,2,3,2,-0.443511209695158
"46",5,8,2,3,2,-0.554426257848743
"47",5,9,2,3,2,-0.0914600395069138
"48",5,10,1,2,2,0.727604404190242
"49",6,2,1,2,2,1.36827922932842
"50",6,3,1,2,1,-1.30042098485471
"51",6,4,2,3,1,1.23586130499628
"52",6,5,1,3,1,0.206658071174471
"53",6,8,2,3,1,0.634160463587935
"54",6,9,2,3,2,-0.392231898453833
"55",6,10,2,3,1,0.256552092479197
"56",7,2,1,3,1,-0.909060729991089
"57",7,4,1,2,1,-0.520203431494067
"58",7,5,2,3,1,-0.427291076651987
"59",7,6,1,2,2,1.33507865005526
"60",7,8,2,3,2,-0.163151215939981
"61",7,9,1,2,1,-0.666894478105216
"62",7,10,2,3,2,0.139054421825341
