"","trialID","a1","a2","b1","b2","c1","c2","timestep","last_observation","est_a1","est_a2","est_b1","est_b2","est_c1","est_c2","est_avalue","est_bvalue","est_cvalue","currentbest","evi","pchangemind"
"1",1,-1,1,0,0,-1.2,0.8,1,"priors",-0.0107776995106255,-0.0293732341671072,0.0257734541165643,0.00527698014205344,0.0151451637112677,0.00103250238784305,-0.0401509336777327,0.0310504342586177,0.0161776660991108,2,1.72883720359493,0.8265
"2",2,-1,1,0,0,-0.2,-0.2,1,"priors",-0.00840000104663828,-0.0200169720962763,0.0194467939351686,-0.019077493242207,-0.0128082937550836,-0.0122327870299482,-0.0284169731429146,0.00036930069296161,-0.0250410807850318,2,1.17641608823428,0.6595
"3",3,-1,1,0,0,-0.5,0.5,1,"priors",0.00151884017777026,0.000122940274790307,0.00148153601736917,0.0011652900505945,-0.0428622645920533,-0.0168749945799978,0.00164178045256057,0.00264682606796367,-0.0597372591720511,2,1.14833697491606,0.668
"4",4,-1,1,0,0,-0.8,0.8,1,"priors",0.00812065435969368,-0.0133295666327215,-0.00364968955964901,-0.00234341929243697,-0.0100815307753542,-0.0128609330385151,-0.0052089122730278,-0.00599310885208598,-0.0229424638138693,1,1.17131995315145,0.6655
"5",5,-1,1,0,0,-0.2,0.2,1,"priors",-0.0126392742913482,-0.0370709911836665,-0.0192670443927947,0.0365663987290824,-0.0076663545628012,-0.0122380305075134,-0.0497102654750146,0.0172993543362877,-0.0199043850703146,2,1.18342005289152,0.653
"6",6,-1,1,0,0,-1.2,0.8,1,"priors",-0.0343694899274009,-0.0523165563487913,0.012178564341686,-0.0134638561193078,-0.0187952464264942,0.014016717716701,-0.0866860462761922,-0.00128529177762176,-0.0047785287097932,2,1.18420817651425,0.673
"7",7,-1,1,0,0,-0.2,-0.2,1,"priors",0.0184302990424503,0.0050728445688628,-0.015503755195194,-0.0304392038914377,-0.00967837266859017,0.00770500668092083,0.0235031436113131,-0.0459429590866317,-0.00197336598766935,1,1.12701760115336,0.664
"8",8,-1,1,0,0,-0.5,0.5,1,"priors",0.0481689311413046,-0.0270879497034653,-0.0197900192707613,0.0149391475260235,-0.00126566358380883,-0.00430138046877438,0.0210809814378393,-0.0048508717447378,-0.00556704405258321,1,1.17192170154672,0.6475
"9",9,-1,1,0,0,-0.8,0.8,1,"priors",-0.00465870945397678,-0.00270965358080271,0.0313496936810235,0.0265644657910365,-0.0218452502025451,-0.00264824058340771,-0.0073683630347795,0.05791415947206,-0.0244934907859528,2,1.16310073351647,0.645
"10",10,-1,1,0,0,-0.2,0.2,1,"priors",0.0182983535758391,-0.00493757102726473,-0.0145449263055692,-0.017119990126016,0.0191401343004494,0.0238185318341375,0.0133607825485744,-0.0316649164315852,0.0429586661345869,3,1.16230677234147,0.6645
"11",1,-1,1,0,0,-1.2,0.8,2,"type:ord,opt1:1,opt2:2,feature:2,obs:1.08808475562851",0.00271878540575678,0.488640102537728,-0.0259392049369897,-0.488219424939631,-0.0296748798946173,0.0199191321558684,0.491358887943485,-0.51415862987662,-0.00975574773874885,1,1.00576283066006,0.6595
"12",2,-1,1,0,0,-0.2,-0.2,2,"type:ord,opt1:2,opt2:3,feature:1,obs:0.184908331983866",0.00553290032374067,-0.00731941882680197,0.0900343250606079,-0.0208845902056499,-0.0687219500925156,-0.00624671858908421,-0.0017865185030613,0.069149734854958,-0.0749686686815998,2,1.00500109691892,0.661
"13",3,-1,1,0,0,-0.5,0.5,2,"type:ord,opt1:2,opt2:3,feature:2,obs:0.779094305087241",-0.0206487844678287,0.00318996658120857,-0.0107864069932157,0.352884194019442,0.00229150010800464,-0.33803265147558,-0.0174588178866202,0.342097787026227,-0.335741151367575,2,0.740916352329114,0.555
"14",4,-1,1,0,0,-0.8,0.8,2,"type:ord,opt1:2,opt2:3,feature:1,obs:1.51851648282269",0.0203438621179504,0.00158012902303168,0.669521601257185,0.00816002363241735,-0.677221978680898,0.0221986862109871,0.0219239911409821,0.677681624889602,-0.655023292469911,2,0.560465043445726,0.445
"15",5,-1,1,0,0,-0.2,0.2,2,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.605900821706543",-0.246475770171031,0.0172339654410894,0.00809525424841194,0.00988644828136389,0.275078947272952,-0.011317947403371,-0.229241804729942,0.0179817025297758,0.263760999869581,3,0.83380476807233,0.5905
"16",6,-1,1,0,0,-1.2,0.8,2,"type:ord,opt1:2,opt2:3,feature:1,obs:0.270722239276979",0.0110439114282475,-0.0340244442749992,0.135052649170922,-0.0110228348648354,-0.105744739535063,0.00674271437562799,-0.0229805328467517,0.124029814306087,-0.0990020251594346,2,0.924187976369139,0.6435
"17",7,-1,1,0,0,-0.2,-0.2,2,"type:ord,opt1:1,opt2:2,feature:1,obs:-1.3611421983416",-0.60081103498469,-0.00702575788672949,0.618049870429278,0.0150030383701437,-0.0186874598648302,-0.00135154271627375,-0.60783679287142,0.633052908799422,-0.0200390025811039,2,0.561575571144742,0.456
"18",8,-1,1,0,0,-0.5,0.5,2,"type:ord,opt1:1,opt2:2,feature:1,obs:-0.950104280696058",-0.437049026538969,-0.0415066178823707,0.415345734509067,0.0189983105558681,-0.00378197181722684,0.00853697775973004,-0.47855564442134,0.434344045064935,0.0047550059425032,2,0.669322001699318,0.523
"19",9,-1,1,0,0,-0.8,0.8,2,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.137939552386155",-0.0835753600517773,0.0118232172687989,-0.00253962766382317,-0.0108927510564717,0.0610076829991409,-0.00358347258008395,-0.0717521427829785,-0.0134323787202949,0.0574242104190569,3,0.995113223193125,0.6435
"20",10,-1,1,0,0,-0.2,0.2,2,"type:ord,opt1:1,opt2:2,feature:2,obs:1.82139613818415",0.0105507484129211,0.808819670679061,-0.00793121832693987,-0.802779281898613,0.0246005500753077,0.00294740195546807,0.819370419091982,-0.810710500225553,0.0275479520307758,1,0.487875739348494,0.4015
"21",1,-1,1,0,0,-1.2,0.8,3,"type:calc,option:1,feature:1,obs:-1.37804407329543",-1.10780269299456,0.491139632049838,-0.0252415020320955,-0.475213641275394,0.00774001458693058,0.00483150507947949,-0.616663060944722,-0.50045514330749,0.0125715196664101,3,0.799634420570643,0.613
"22",2,-1,1,0,0,-0.2,-0.2,3,"type:ord,opt1:1,opt2:2,feature:2,obs:0.95777950827744",-0.00290508511312861,0.42367781942118,0.0814566983854104,-0.418340273399775,-0.0875613996814415,-0.0042509219401498,0.420772734308051,-0.336883575014365,-0.0918123216215913,1,0.548029464333122,0.46
"23",3,-1,1,0,0,-0.5,0.5,3,"type:ord,opt1:1,opt2:2,feature:1,obs:-0.41673271689113",-0.194257038770345,-0.0101638440667381,0.173903722834819,0.366343787363387,-0.00466423409673401,-0.324462660604365,-0.204420882837084,0.540247510198206,-0.329126894701099,2,0.41623517761106,0.466
"24",4,-1,1,0,0,-0.8,0.8,3,"type:ord,opt1:1,opt2:2,feature:2,obs:0.987862096927785",0.00434503636515665,0.44274712383172,0.667653488781701,-0.432411524390766,-0.700946620390207,0.0113050891833155,0.447092160196877,0.235241964390936,-0.689641531206892,1,0.532428862573883,0.471
"25",5,-1,1,0,0,-0.2,0.2,3,"type:ord,opt1:2,opt2:3,feature:2,obs:-0.191880653717555",-0.281236037431928,-0.0134292691744852,0.00172023068879199,-0.0857838862473672,0.256590042418994,0.06827970414073,-0.294665306606413,-0.0840636555585752,0.324869746559724,3,0.553285232717276,0.57
"26",6,-1,1,0,0,-1.2,0.8,3,"type:ord,opt1:1,opt2:2,feature:2,obs:0.662554524774981",0.00890188110933551,0.281848426903366,0.130538656032546,-0.300619282230911,-0.0974496284969538,-0.0067739445063938,0.290750308012702,-0.170080626198365,-0.104223573003348,1,0.619652783978415,0.53
"27",7,-1,1,0,0,-0.2,-0.2,3,"type:ord,opt1:2,opt2:3,feature:2,obs:-0.371448165143562",-0.627156241165324,0.0247524413914675,0.564719583561824,-0.167559134347909,-0.0200787016927337,0.168433186072488,-0.602403799773856,0.397160449213915,0.148354484379754,2,0.551342733847805,0.5395
"28",8,-1,1,0,0,-0.5,0.5,3,"type:ord,opt1:2,opt2:3,feature:2,obs:-1.29746209667547",-0.428505057670838,0.0100653866729847,0.418096397281318,-0.581108816582032,0.0112385709878201,0.567205481889104,-0.418439670997854,-0.163012419300714,0.578444052876924,3,0.432229417254662,0.3955
"29",9,-1,1,0,0,-0.8,0.8,3,"type:ord,opt1:1,opt2:2,feature:2,obs:0.915213818102734",-0.0660163904155535,0.403597251917782,-0.0127519399331806,-0.402058653306343,0.0436491900934567,0.00274298467592235,0.337580861502229,-0.414810593239523,0.046392174769379,1,0.599788556888801,0.5825
"30",10,-1,1,0,0,-0.2,0.2,3,"type:ord,opt1:1,opt2:3,feature:2,obs:0.566238474951234",-0.0178837536797345,0.750926479408627,0.0159222386192145,-0.84416714985888,0.00804300393999043,0.144598484278791,0.733042725728893,-0.828244911239665,0.152641488218781,1,0.420162064644293,0.412
