"","trialID","a1","a2","b1","b2","c1","c2","timestep","last_observation","est_a1","est_a2","est_b1","est_b2","est_c1","est_c2","est_avalue","est_bvalue","est_cvalue","currentbest","evi","pchangemind"
"1",1,-1,1,0,0,-1.2,0.8,1,"priors",-0.0107776995106255,-0.0293732341671072,0.0257734541165643,0.00527698014205344,0.0151451637112677,0.00103250238784305,-0.0401509336777327,0.0310504342586177,0.0161776660991108,2,1.72883720359493,0.8265
"2",2,-1,1,0,0,-0.2,-0.2,1,"priors",-0.00840000104663828,-0.0200169720962763,0.0194467939351686,-0.019077493242207,-0.0128082937550836,-0.0122327870299482,-0.0284169731429146,0.00036930069296161,-0.0250410807850318,2,1.17641608823428,0.6595
"3",3,-1,1,0,0,-0.5,0.5,1,"priors",0.00151884017777026,0.000122940274790307,0.00148153601736917,0.0011652900505945,-0.0428622645920533,-0.0168749945799978,0.00164178045256057,0.00264682606796367,-0.0597372591720511,2,1.14833697491606,0.668
"4",4,-1,1,0,0,-0.8,0.8,1,"priors",0.00812065435969368,-0.0133295666327215,-0.00364968955964901,-0.00234341929243697,-0.0100815307753542,-0.0128609330385151,-0.0052089122730278,-0.00599310885208598,-0.0229424638138693,1,1.17131995315145,0.6655
"5",5,-1,1,0,0,-0.2,0.2,1,"priors",-0.0126392742913482,-0.0370709911836665,-0.0192670443927947,0.0365663987290824,-0.0076663545628012,-0.0122380305075134,-0.0497102654750146,0.0172993543362877,-0.0199043850703146,2,1.18342005289152,0.653
"6",6,-1,1,0,0,-1.2,0.8,1,"priors",-0.0343694899274009,-0.0523165563487913,0.012178564341686,-0.0134638561193078,-0.0187952464264942,0.014016717716701,-0.0866860462761922,-0.00128529177762176,-0.0047785287097932,2,1.18420817651425,0.673
"7",7,-1,1,0,0,-0.2,-0.2,1,"priors",0.0184302990424503,0.0050728445688628,-0.015503755195194,-0.0304392038914377,-0.00967837266859017,0.00770500668092083,0.0235031436113131,-0.0459429590866317,-0.00197336598766935,1,1.12701760115336,0.664
"8",8,-1,1,0,0,-0.5,0.5,1,"priors",0.0481689311413046,-0.0270879497034653,-0.0197900192707613,0.0149391475260235,-0.00126566358380883,-0.00430138046877438,0.0210809814378393,-0.0048508717447378,-0.00556704405258321,1,1.17192170154672,0.6475
"9",9,-1,1,0,0,-0.8,0.8,1,"priors",-0.00465870945397678,-0.00270965358080271,0.0313496936810235,0.0265644657910365,-0.0218452502025451,-0.00264824058340771,-0.0073683630347795,0.05791415947206,-0.0244934907859528,2,1.16310073351647,0.645
"10",10,-1,1,0,0,-0.2,0.2,1,"priors",0.0182983535758391,-0.00493757102726473,-0.0145449263055692,-0.017119990126016,0.0191401343004494,0.0238185318341375,0.0133607825485744,-0.0316649164315852,0.0429586661345869,3,1.16230677234147,0.6645
"11",1,-1,1,0,0,-1.2,0.8,2,"type:calc,option:3,feature:2,obs:1.50450220031275",0.0162512514100574,-0.0118362162059867,0.0149772616661693,-0.0240776698827975,-0.0355690171674694,1.21184430798405,0.00441503520407067,-0.0091004082166282,1.17627529081658,3,0.806801264011865,0.588
"12",2,-1,1,0,0,-0.2,-0.2,2,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.212586456291471",-0.0741101966905628,-0.0117657706761858,-0.0120572745683074,0.0146524692710845,0.0873588381491,-0.0131123276267956,-0.0858759673667486,0.00259519470277717,0.0742465105223044,3,0.997685861768873,0.673
"13",3,-1,1,0,0,-0.5,0.5,2,"type:ord,opt1:1,opt2:3,feature:2,obs:0.0476941115335278",0.0186845926313938,0.0250983825308005,-0.00374190043781607,0.00573567190959402,-0.0126569913244243,-0.0012785736485184,0.0437829751621943,0.00199377147177795,-0.0139355649729427,1,1.04130304115368,0.6685
"14",4,-1,1,0,0,-0.8,0.8,2,"type:ord,opt1:1,opt2:3,feature:2,obs:0.279139980570985",0.00219975856840188,0.10234712248983,0.016743173918768,0.00819922991711746,-0.0251177417788202,-0.0765105659367507,0.104546881058232,0.0249424038358854,-0.101628307715571,1,1.0281256753255,0.641
"15",5,-1,1,0,0,-0.2,0.2,2,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.729111316453098",-0.247318804483729,0.0198929284161107,0.0124823605323422,-0.00655954134833884,0.235684892345761,-0.00491114694611959,-0.227425876067618,0.00592281918400333,0.230773745399642,3,0.869769360329923,0.586
"16",6,-1,1,0,0,-1.2,0.8,2,"type:calc,option:3,feature:1,obs:-0.568113203092375",-0.00658310927795075,0.000539509119337453,0.00897832274387596,-0.057228888459402,-0.459485977458068,0.0101634600011035,-0.00604360015861329,-0.0482505657155261,-0.449322517456964,1,1.00179242922853,0.5845
"17",7,-1,1,0,0,-0.2,-0.2,2,"type:ord,opt1:2,opt2:3,feature:1,obs:0.0228524235833827",-0.0311790980977106,0.0163681179195317,0.0139985509446085,-0.0202317453944507,-0.0132342792230414,-0.00725465919814256,-0.0148109801781789,-0.00623319444984217,-0.0204889384211839,2,1.08683364848435,0.6795
"18",8,-1,1,0,0,-0.5,0.5,2,"type:ord,opt1:1,opt2:2,feature:1,obs:-0.973422258133673",-0.322148622065426,-0.00831942602563427,0.338786327265169,-0.0136880272827475,-0.0134385730144585,0.039971580060001,-0.33046804809106,0.325098299982421,0.0265330070455425,2,0.805050232228578,0.5635
"19",9,-1,1,0,0,-0.8,0.8,2,"type:ord,opt1:1,opt2:2,feature:2,obs:0.0600911263107693",-0.00282745102919584,0.0174482903818821,-0.0208478811892429,-0.0186507610927814,0.023930201717054,-0.0311867293664826,0.0146208393526862,-0.0394986422820243,-0.00725652764942857,1,1.07239696877854,0.677
"20",10,-1,1,0,0,-0.2,0.2,2,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.177778349793476",-0.0598078067479271,0.0158243350723031,0.00889945877857139,0.0313202947466438,0.0433436354586481,0.0186093636252123,-0.0439834716756241,0.0402197535252152,0.0619529990838604,3,1.0355128997169,0.662
"21",1,-1,1,0,0,-1.2,0.8,3,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.486030483687373",-0.171659359350604,0.0158901278252107,-0.0274268032647412,0.0142620507464389,0.162428185852779,1.22673621915503,-0.155769231525394,-0.0131647525183023,1.38916440500781,3,0.536813229695016,0.519
"22",2,-1,1,0,0,-0.2,-0.2,3,"type:ord,opt1:2,opt2:3,feature:2,obs:0.520435952629768",-0.0648559452370442,-0.0105028911936077,0.000185360565780611,0.183898562592505,0.0790813417880944,-0.186069414315463,-0.075358836430652,0.184083923158285,-0.106988072527368,2,0.813508383578093,0.5765
"23",3,-1,1,0,0,-0.5,0.5,3,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.0627701161561981",-0.0133762566519898,0.0137472075318335,-0.00137293537308307,-0.0228311363659711,0.0441782898909338,-0.0233230519202526,0.000370950879843709,-0.0242040717390542,0.0208552379706812,3,0.918936971901899,0.677
"24",4,-1,1,0,0,-0.8,0.8,3,"type:ord,opt1:1,opt2:3,feature:1,obs:0.339060814891328",0.132872456967252,0.103256395908319,0.00813307822388668,0.00538317510816219,-0.12794127651601,-0.0683075873270587,0.23612885287557,0.0135162533320489,-0.196248863843068,1,0.770188214363512,0.589
"25",5,-1,1,0,0,-0.2,0.2,3,"type:calc,option:3,feature:2,obs:0.376807554032913",-0.241628124241765,0.0280406175823152,-0.00562223574258931,-0.0129714335983726,0.224113362252222,0.302547482953433,-0.21358750665945,-0.0185936693409619,0.526660845205655,3,0.623155456767273,0.541
"26",6,-1,1,0,0,-1.2,0.8,3,"type:ord,opt1:1,opt2:2,feature:1,obs:-1.07264562625058",-0.371620843583688,0.0356950349256318,0.363583403025484,0.0274546224521838,-0.462279790174373,-0.0103660465211791,-0.335925808658056,0.391038025477668,-0.472645836695552,2,0.558409639548761,0.471
"27",7,-1,1,0,0,-0.2,-0.2,3,"type:ord,opt1:1,opt2:3,feature:1,obs:-0.665417993622493",-0.239048022638357,0.00953363273072426,0.097378179707714,0.00105256269060277,0.166840222328579,0.017457736607275,-0.229514389907632,0.0984307423983167,0.184297958935854,3,0.847390371363459,0.6135
"28",8,-1,1,0,0,-0.5,0.5,3,"type:ord,opt1:2,opt2:3,feature:1,obs:0.385377628824958",-0.319775046751058,-0.0325878738452719,0.334893273710035,-0.00413093810763004,-0.0378656960161125,-0.0199944881840305,-0.35236292059633,0.330762335602405,-0.057860184200143,2,0.670158783249174,0.533
"29",9,-1,1,0,0,-0.8,0.8,3,"type:ord,opt1:1,opt2:3,feature:2,obs:1.01714096718373",-0.00354268597366406,0.274734761463697,-0.00168329449136384,0.111497482365271,0.00375056740310986,-0.383053154265019,0.271192075490033,0.109814187873907,-0.379302586861909,1,0.769595553660343,0.5855
"30",10,-1,1,0,0,-0.2,0.2,3,"type:calc,option:3,feature:2,obs:0.145797746715023",-0.0320931033447033,-0.00339925340498237,0.00980570921602766,-0.000827055270554461,0.0918259545792387,0.110497815290685,-0.0354923567496857,0.0089786539454732,0.202323769869923,3,0.85131973346182,0.6495
